row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
223_Dong_2019__ai__1,ai,223_Dong_2019,crop_yield,wheat,20,nitrogen,250,y2015,single_cell,kg/ha,cofactor_matched_control,5370,3460,Table 3,0,"biochar_type=aged; N1Ba2 (aged biochar 20 t/ha) vs N1 (250 kg N/ha, no biochar); season=2015-2016",rebuild_2026-08-19/biochar
223_Dong_2019__ai__2,ai,223_Dong_2019,crop_yield,wheat,40,nitrogen,250,y2015,single_cell,kg/ha,cofactor_matched_control,5970,3460,Table 3,0,"biochar_type=aged; N1Ba4 (aged biochar 40 t/ha) vs N1 (250 kg N/ha, no biochar); season=2015-2016",rebuild_2026-08-19/biochar
223_Dong_2019__ai__3,ai,223_Dong_2019,crop_yield,wheat,30,nitrogen,250,y2015,single_cell,kg/ha,cofactor_matched_control,4390,3460,Table 3,0,"biochar_type=fresh; N1Ba2f1 (fresh biochar 10 t/ha) vs N1 (250 kg N/ha, no biochar); season=2015-2016",rebuild_2026-08-19/biochar
223_Dong_2019__ai__4,ai,223_Dong_2019,crop_yield,wheat,60,nitrogen,250,y2015,single_cell,kg/ha,cofactor_matched_control,4110,3460,Table 3,0,"biochar_type=fresh; N1Ba4f2 (fresh biochar 20 t/ha) vs N1 (250 kg N/ha, no biochar); season=2015-2016",rebuild_2026-08-19/biochar
223_Dong_2019__ai__5,ai,223_Dong_2019,crop_yield,rice,20,nitrogen,250,y2015,single_cell,kg/ha,cofactor_matched_control,8630,7170,Table 3,0,"biochar_type=aged; N1Ba2 (aged biochar 20 t/ha) vs N1 (250 kg N/ha, no biochar); season=2015-2016",rebuild_2026-08-19/biochar
223_Dong_2019__ai__6,ai,223_Dong_2019,crop_yield,rice,40,nitrogen,250,y2015,single_cell,kg/ha,cofactor_matched_control,7350,7170,Table 3,0,"biochar_type=aged; N1Ba4 (aged biochar 40 t/ha) vs N1 (250 kg N/ha, no biochar); season=2015-2016",rebuild_2026-08-19/biochar
223_Dong_2019__ai__7,ai,223_Dong_2019,crop_yield,rice,30,nitrogen,250,y2015,single_cell,kg/ha,cofactor_matched_control,7190,7170,Table 3,0,"biochar_type=fresh; N1Ba2f1 (fresh biochar 10 t/ha) vs N1 (250 kg N/ha, no biochar); season=2015-2016",rebuild_2026-08-19/biochar
223_Dong_2019__ai__8,ai,223_Dong_2019,crop_yield,rice,60,nitrogen,250,y2015,single_cell,kg/ha,cofactor_matched_control,6590,7170,Table 3,0,"biochar_type=fresh; N1Ba4f2 (fresh biochar 20 t/ha) vs N1 (250 kg N/ha, no biochar); season=2015-2016",rebuild_2026-08-19/biochar
223_Dong_2019__ai__9,ai,223_Dong_2019,crop_yield,wheat,20,nitrogen,250,y2016,single_cell,kg/ha,cofactor_matched_control,4770,4330,Table 3,0,"biochar_type=aged; N1Ba2 (aged biochar 20 t/ha) vs N1 (250 kg N/ha, no biochar); season=2016-2017",rebuild_2026-08-19/biochar
223_Dong_2019__ai__10,ai,223_Dong_2019,crop_yield,wheat,40,nitrogen,250,y2016,single_cell,kg/ha,cofactor_matched_control,4700,4330,Table 3,0,"biochar_type=aged; N1Ba4 (aged biochar 40 t/ha) vs N1 (250 kg N/ha, no biochar); season=2016-2017",rebuild_2026-08-19/biochar
223_Dong_2019__ai__11,ai,223_Dong_2019,crop_yield,wheat,30,nitrogen,250,y2016,single_cell,kg/ha,cofactor_matched_control,4570,4330,Table 3,0,"biochar_type=fresh; N1Ba2f1 (fresh biochar 10 t/ha) vs N1 (250 kg N/ha, no biochar); season=2016-2017",rebuild_2026-08-19/biochar
223_Dong_2019__ai__12,ai,223_Dong_2019,crop_yield,wheat,60,nitrogen,250,y2016,single_cell,kg/ha,cofactor_matched_control,4330,4330,Table 3,0,"biochar_type=fresh; N1Ba4f2 (fresh biochar 20 t/ha) vs N1 (250 kg N/ha, no biochar); season=2016-2017",rebuild_2026-08-19/biochar
223_Dong_2019__ai__13,ai,223_Dong_2019,crop_yield,rice,20,nitrogen,250,y2016,single_cell,kg/ha,cofactor_matched_control,6300,7930,Table 3,0,"biochar_type=aged; N1Ba2 (aged biochar 20 t/ha) vs N1 (250 kg N/ha, no biochar); season=2016-2017",rebuild_2026-08-19/biochar
223_Dong_2019__ai__14,ai,223_Dong_2019,crop_yield,rice,40,nitrogen,250,y2016,single_cell,kg/ha,cofactor_matched_control,7450,7930,Table 3,0,"biochar_type=aged; N1Ba4 (aged biochar 40 t/ha) vs N1 (250 kg N/ha, no biochar); season=2016-2017",rebuild_2026-08-19/biochar
223_Dong_2019__ai__15,ai,223_Dong_2019,crop_yield,rice,30,nitrogen,250,y2016,single_cell,kg/ha,cofactor_matched_control,6750,7930,Table 3,0,"biochar_type=fresh; N1Ba2f1 (fresh biochar 10 t/ha) vs N1 (250 kg N/ha, no biochar); season=2016-2017",rebuild_2026-08-19/biochar
223_Dong_2019__ai__16,ai,223_Dong_2019,crop_yield,rice,60,nitrogen,250,y2016,single_cell,kg/ha,cofactor_matched_control,6670,7930,Table 3,0,"biochar_type=fresh; N1Ba4f2 (fresh biochar 20 t/ha) vs N1 (250 kg N/ha, no biochar); season=2016-2017",rebuild_2026-08-19/biochar
