row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
077_Zhang_J_2019__ai__0,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2015,single_cell,kg/ha,absolute_control,4200,4363,Figure 1 + text,1,"T:Biochar 5% (C-5), Year 1 (2015) || C:Control (CK, 0% biochar), Year 1 (2015)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__1,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2015,single_cell,kg/ha,absolute_control,5633,4363,Figure 1 + text,1,"T:Biochar 10% (C-10), Year 1 (2015) || C:Control (CK, 0% biochar), Year 1 (2015)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__2,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2015,single_cell,kg/ha,absolute_control,5856,4363,Figure 1 + text,1,"T:Biochar 15% (C-15), Year 1 (2015) || C:Control (CK, 0% biochar), Year 1 (2015)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__3,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2015,single_cell,kg/ha,absolute_control,4200,4363,Figure 1 + text,1,"T:Biochar 20% (C-20), Year 1 (2015) || C:Control (CK, 0% biochar), Year 1 (2015)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__4,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2016,single_cell,kg/ha,absolute_control,3022,2332,Figure 1 + text,1,"T:Biochar 5% (C-5), Year 2 (2016) || C:Control (CK, 0% biochar), Year 2 (2016)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__5,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2016,single_cell,kg/ha,absolute_control,3200,2332,Figure 1 + text,1,"T:Biochar 10% (C-10), Year 2 (2016) || C:Control (CK, 0% biochar), Year 2 (2016)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__6,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2016,single_cell,kg/ha,absolute_control,3540,2332,Figure 1 + text,1,"T:Biochar 15% (C-15), Year 2 (2016) || C:Control (CK, 0% biochar), Year 2 (2016)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__7,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2016,single_cell,kg/ha,absolute_control,4571,2332,Figure 1 + text,1,"T:Biochar 20% (C-20), Year 2 (2016) || C:Control (CK, 0% biochar), Year 2 (2016)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__8,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2017,single_cell,kg/ha,absolute_control,3000,3000,Figure 1 + text,1,"T:Biochar 5% (C-5), Year 3 (2017) || C:Control (CK, 0% biochar), Year 3 (2017)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__9,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2017,single_cell,kg/ha,absolute_control,3000,3000,Figure 1 + text,1,"T:Biochar 10% (C-10), Year 3 (2017) || C:Control (CK, 0% biochar), Year 3 (2017)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__10,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2017,single_cell,kg/ha,absolute_control,3000,3000,Figure 1 + text,1,"T:Biochar 15% (C-15), Year 3 (2017) || C:Control (CK, 0% biochar), Year 3 (2017)",rebuild_2026-08-19/biochar
077_Zhang_J_2019__ai__11,ai,077_Zhang_J_2019,crop_yield,rice,,none,0,y2017,single_cell,kg/ha,absolute_control,3000,3000,Figure 1 + text,1,"T:Biochar 20% (C-20), Year 3 (2017) || C:Control (CK, 0% biochar), Year 3 (2017)",rebuild_2026-08-19/biochar
